variable,year,metric,improved,unchanged,degraded,median_delta
TEMP,2013,MAE,24,4,6,-0.06551305844580546
TEMP,2013,RMS,25,1,8,-0.09948334109360885
TEMP,2013,R,2,32,0,0.005343046577477806
TEMP,2013,BIAS,26,1,7,-0.3676685431429727
TEMP,2021,MAE,1,6,30,0.0816912119924285
TEMP,2021,RMS,2,6,29,0.07772968044332951
TEMP,2021,R,0,36,1,-0.0015003022734637605
TEMP,2021,BIAS,3,1,33,0.4505557320880028
TEMP,2015,MAE,22,5,4,-0.0762453851393837
TEMP,2015,RMS,22,2,7,-0.0887669357157265
TEMP,2015,R,2,29,0,0.006357539825455616
TEMP,2015,BIAS,24,0,7,-0.44374090097584556
TEMP,2022,MAE,3,3,40,0.12299469457388099
TEMP,2022,RMS,4,2,40,0.15637349365301395
TEMP,2022,R,0,44,2,-0.002535568639681296
TEMP,2022,BIAS,2,2,42,0.7679774742181842
SAL,2013,MAE,16,3,1,-0.0962659271882506
SAL,2013,RMS,16,3,1,-0.08662432668219436
SAL,2013,R,2,18,0,0.007774040765916257
SAL,2013,BIAS,15,0,5,-0.25508951627811227
SAL,2021,MAE,6,10,6,-0.003054275321088984
SAL,2021,RMS,10,8,4,-0.019130388760225353
SAL,2021,R,2,20,0,0.000331352475767821
SAL,2021,BIAS,17,1,4,-0.20515970153054514
SAL,2015,MAE,16,4,0,-0.08930522322654728
SAL,2015,RMS,17,3,0,-0.08778485706096205
SAL,2015,R,11,9,0,0.0437579432777529
SAL,2015,BIAS,19,1,0,-0.25379549576413785
SAL,2022,MAE,11,13,7,-0.001158488527678414
SAL,2022,RMS,11,16,4,-0.013252987333671501
SAL,2022,R,3,27,1,0.0005393826226923748
SAL,2022,BIAS,19,5,7,-0.12241338044889338
